time_iso8601,stars_cumulative
2021-02-16 00:00:00+00:00,156
2021-02-17 00:00:00+00:00,157
2021-02-18 00:00:00+00:00,161
2021-02-19 00:00:00+00:00,164
2021-02-20 00:00:00+00:00,167
2021-02-21 00:00:00+00:00,168
2021-02-22 00:00:00+00:00,169
2021-02-26 00:00:00+00:00,170
2021-02-27 00:00:00+00:00,171
2021-03-01 00:00:00+00:00,173
2021-03-02 00:00:00+00:00,174
2021-03-03 00:00:00+00:00,177
2021-03-04 00:00:00+00:00,178
2021-03-05 00:00:00+00:00,179
2021-03-06 00:00:00+00:00,180
2021-03-07 00:00:00+00:00,182
2021-03-08 00:00:00+00:00,183
2021-03-09 00:00:00+00:00,186
2021-03-11 00:00:00+00:00,187
2021-03-13 00:00:00+00:00,188
2021-03-14 00:00:00+00:00,191
2021-03-15 00:00:00+00:00,192
2021-03-16 00:00:00+00:00,193
2021-03-17 00:00:00+00:00,195
2021-03-18 00:00:00+00:00,197
2021-03-19 00:00:00+00:00,198
2021-03-20 00:00:00+00:00,199
2021-03-21 00:00:00+00:00,201
2021-03-24 00:00:00+00:00,203
2021-03-25 00:00:00+00:00,205
2021-03-26 00:00:00+00:00,206
2021-03-28 00:00:00+00:00,207
2021-03-29 00:00:00+00:00,208
2021-03-30 00:00:00+00:00,209
2021-04-02 00:00:00+00:00,210
2021-04-06 00:00:00+00:00,211
2021-04-09 00:00:00+00:00,212
2021-04-12 00:00:00+00:00,214
2021-04-13 00:00:00+00:00,216
2021-04-14 00:00:00+00:00,217
2021-04-16 00:00:00+00:00,219
2021-04-19 00:00:00+00:00,220
2021-04-23 00:00:00+00:00,221
2021-04-24 00:00:00+00:00,223
2021-04-25 00:00:00+00:00,225
2021-04-27 00:00:00+00:00,226
2021-04-28 00:00:00+00:00,229
2021-04-29 00:00:00+00:00,230
2021-05-04 00:00:00+00:00,231
2021-05-06 00:00:00+00:00,235
2021-05-07 00:00:00+00:00,237
2021-05-08 00:00:00+00:00,238
2021-05-09 00:00:00+00:00,242
2021-05-12 00:00:00+00:00,243
2021-05-13 00:00:00+00:00,244
2021-05-14 00:00:00+00:00,245
2021-05-15 00:00:00+00:00,247
2021-05-16 00:00:00+00:00,248
2021-05-17 00:00:00+00:00,249
2021-05-20 00:00:00+00:00,250
2021-05-25 00:00:00+00:00,252
2021-05-28 00:00:00+00:00,253
2021-05-29 00:00:00+00:00,254
2021-06-01 00:00:00+00:00,255
2021-06-03 00:00:00+00:00,258
2021-06-04 00:00:00+00:00,260
2021-06-05 00:00:00+00:00,261
2021-06-07 00:00:00+00:00,262
2021-06-08 00:00:00+00:00,263
2021-06-09 00:00:00+00:00,267
2021-06-10 00:00:00+00:00,272
2021-06-11 00:00:00+00:00,274
2021-06-12 00:00:00+00:00,275
2021-06-14 00:00:00+00:00,276
2021-06-16 00:00:00+00:00,277
2021-06-17 00:00:00+00:00,278
2021-06-19 00:00:00+00:00,280
2021-06-20 00:00:00+00:00,281
2021-06-22 00:00:00+00:00,282
2021-06-23 00:00:00+00:00,284
2021-06-24 00:00:00+00:00,287
2021-06-26 00:00:00+00:00,288
2021-07-02 00:00:00+00:00,290
2021-07-03 00:00:00+00:00,291
2021-07-06 00:00:00+00:00,292
2021-07-08 00:00:00+00:00,293
2021-07-11 00:00:00+00:00,294
2021-07-13 00:00:00+00:00,295
2021-07-14 00:00:00+00:00,296
2021-07-15 00:00:00+00:00,297
2021-07-16 00:00:00+00:00,299
2021-07-17 00:00:00+00:00,300
2021-07-18 00:00:00+00:00,301
2021-07-19 00:00:00+00:00,302
2021-07-20 00:00:00+00:00,304
2021-07-23 00:00:00+00:00,305
2021-07-26 00:00:00+00:00,306
2021-07-27 00:00:00+00:00,308
2021-07-29 00:00:00+00:00,310
2021-08-01 00:00:00+00:00,311
2021-08-02 00:00:00+00:00,312
2021-08-03 00:00:00+00:00,314
2021-08-04 00:00:00+00:00,315
2021-08-05 00:00:00+00:00,316
2021-08-06 00:00:00+00:00,318
2021-08-09 00:00:00+00:00,319
2021-08-10 00:00:00+00:00,321
2021-08-11 00:00:00+00:00,323
